link_id,name,from_node_id,to_node_id,geometry,parent_link,dir_flag,capacity,free_speed,lanes,bike_facility,ped_facility,parking,allowed_uses,facility_type,grade,notes
311,Broadway,3,11,"LINESTRING (-71.0896646 42.3649006,-71.089583 42.3648581,-71.0894745 42.3648023,-71.0893532 42.3647385,-71.0892015 42.3646628,-71.0886105 42.3644342,-71.0884584 42.3643696,-71.087608 42.3640086,-71.0873963 42.3639282)",,1,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,Broadway EB approaching Ames
711,Ames Street,7,11,"LINESTRING (-71.0881584 42.3626232,-71.0881469 42.3626905,-71.088128 42.3627951,-71.0881079 42.3628996,-71.0880929 42.3629763,-71.0880755 42.363039,-71.0880463 42.3630974,-71.0880087 42.3631516,-71.0879597 42.3632123,-71.0877357 42.3635091,-71.0876898 42.3635606,-71.0874724 42.3638309,-71.0873963 42.3639282)",,1,1000,25,1,CycleTrack,Sidewalk,None,"AUTO, BIKE",,,Ames between Main and Broadway NB
117,Ames Street,11,7,"LINESTRING (-71.0881584 42.3626232,-71.0881469 42.3626905,-71.088128 42.3627951,-71.0881079 42.3628996,-71.0880929 42.3629763,-71.0880755 42.363039,-71.0880463 42.3630974,-71.0880087 42.3631516,-71.0879597 42.3632123,-71.0877357 42.3635091,-71.0876898 42.3635606,-71.0874724 42.3638309,-71.0873963 42.3639282)",,-1,1000,25,1,CycleTrack,Sidewalk,None,"AUTO, BIKE",,,Ames between Main and Broadway SB
1122,Broadway,11,22,"LINESTRING (-71.0873963 42.3639282,-71.0873359 42.363905,-71.087253 42.3638732,-71.086308 42.3634642,-71.0859256 42.363305,-71.0855886 42.3631648,-71.0844086 42.3626504)",,1,1000,25,1,BikeLane,Sidewalk,Parallel,"AUTO, BIKE",,,Eastbound approaching Third
113,Broadway,11,3,"LINESTRING (-71.0873319 42.3640097,-71.0875298 42.3640974,-71.0880978 42.3643416,-71.0881729 42.3643722,-71.0882845 42.3644189,-71.0893354 42.364812)",,1,1000,25,1,BikeLane,Sidewalk,None,"AUTO, BIKE",,,"Westbound, west of Ames"
2211,Broadway,22,11,"LINESTRING (-71.0843176 42.3627195,-71.0851184 42.3630762,-71.0851603 42.3630949,-71.0858614 42.3633871,-71.0861137 42.3634923,-71.0862468 42.3635475,-71.086527 42.3636639,-71.0865843 42.3636885,-71.0866469 42.3637153,-71.0873319 42.3640097)",,1,1000,25,1,BikeLane,Sidewalk,None,"AUTO, BIKE",,,Westbound approaching Ames
1711,Knox Bikepath,17,11,"LINESTRING (-71.0861564 42.3661139,-71.0863145 42.3653651,-71.0869504 42.3644949,-71.0872319 42.3640097)",,1,1000,15,0,CycleTrack,Sidewalk,None,BIKE,Cycletrack,,Bike/ped path west of Volpe SB
1117,Knox Bikepath,11,17,"LINESTRING (-71.0861564 42.3661139,-71.0863145 42.3653651,-71.0869504 42.3644949,-71.0872319 42.3640097)",,-1,1000,15,0,CycleTrack,Sidewalk,None,BIKE,Cycletrack,,Bike/ped path west of Volpe NB
11701,Ames Street,11,7,"LINESTRING (-71.0873359 42.363905,-71.0879905 42.3630931,-71.0880814 42.3626176)",711,1,1000,25,0,CycleTrack,None,None,BIKE,Cycletrack,,Ames cycletrack between Main and Broadway SB
71101,Ames Street,7,11,"LINESTRING (-71.0873359 42.363905,-71.0879905 42.3630931,-71.0880814 42.3626176)",711,-1,1000,25,0,CycleTrack,None,None,BIKE,Cycletrack,,Ames cycletrack between Main and Broadway NB
31101,Broadway sidewalk,302,1105,"LINESTRING(-71.089331 42.364648,-71.087665 42.363938)",311,0,,,,,,,WALK,Sidewalk,,Broadway EB approaching Ames SIDEWALK
11301,Broadway sidewalk,1103,301,"LINESTRING(-71.087488 42.364142,-71.089277 42.364874)",113,0,,,,,,,WALK,Sidewalk,,"Westbound, west of Ames SIDEWALK"
71102,Ames sidewalk,701,711,"LINESTRING(-71.08801 42.36264,-71.0876685 42.363425)",711,0,,,,,,,WALK,Sidewalk,,Ames between Main and Broadway NB SIDEWALK (before bus stop island)
71103,Ames sidewalk,711,1104,"LINESTRING(-71.0876685 42.363425,-71.087329 42.363787)",711,0,,,,,,,WALK,Sidewalk,,Ames between Main and Broadway NB SIDEWALK (after bus stop island)
11702,Ames sidewalk,1105,702,"LINESTRING(-71.087665 42.363938,-71.088395 42.362683)",117,0,,,,,,,WALK,Sidewalk,,Ames between Main and Broadway SB SIDEWALK
11221,Broadway sidewalk,1104,1101,"LINESTRING(-71.087329 42.363787,-71.085966 42.363251)",1122,0,,,,,,,WALK,Sidewalk,,Eastbound approaching Third SIDEWALK (west half)
11222,Broadway sidewalk,1101,2202,"LINESTRING(-71.085966 42.363251,-71.084580 42.362604)",1122,0,,,,,,,WALK,Sidewalk,,Eastbound approaching Third SIDEWALK (east half)
22111,Broadway sidewalk,2201,2211,"LINESTRING(-71.084404 42.362856,-71.085826 42.363431)",2211,0,,,,,,,WALK,Sidewalk,,Westbound approaching Ames SIDEWALK (east half)
22112,Broadway sidewalk,2211,1102,"LINESTRING(-71.085826 42.363431,-71.087165 42.364)",2211,0,,,,,,,WALK,Sidewalk,,Westbound approaching Ames SIDEWALK (west half)
11171,Loughery Walkway,1102,1701,"LINESTRING(-71.087165 42.364,-71.0862145 42.3653651,-71.086029 42.366009)",1117,0,,,,,,,WALK,Sidewalk,,Bike/ped path west of Volpe NB SIDEWALK
11001,,1102,1104,"LINESTRING(-71.087165 42.364,-71.087329 42.363787)",,0,,,,,,,WALK,Crosswalk,,
11002,,1103,1105,"LINESTRING(-71.087488 42.364142,-71.087665 42.363938)",,0,,,,,,,WALK,Crosswalk,,
11003,,1104,1105,"LINESTRING(-71.087329 42.363787,-71.087665 42.363938)",,0,,,,,,,WALK,Crosswalk,,
11004,,1102,1103,"LINESTRING(-71.087165 42.364,-71.087488 42.364142)",,0,,,,,,,WALK,Crosswalk,,"crosswalk across bikepath (basically a sidewalk, but it is signalized)"
11005,,711,12231,"LINESTRING(-71.087744 42.363478,-71.087704 42.363498)",,0,,,,,,,WALK,Crosswalk,,crosswalk to bus stop island
11221,,1101,2211,"LINESTRING(-71.085966 42.363251,-71.085826 42.363431)",,0,,,,,,,WALK,Crosswalk,,midblock crosswalk (near Volpe entrance)
