Node,X,Y
1,1523373,1003235
2,1523873,1003225
3,1524263,1003205
4,1524224,1002265
5,1523854,1002765
6,1523354,1002745
7,1523324,1002284
8,1523844,1002275
9,1524695,1001515
10,1523804,1001755
11,1523374,1001765
12,1523304,1001264
13,1523815,1001245
14,1523402,1004955
15,1523952.454,1004620.162
16,1522041,1011125
17,1523748,1012078
18,1511204,1011999
19,1523309,1009956
20,1524720,1009927
21,1524681,1007287
22,1523211,1007546
23,1522100,1007725
24,1514001,1019473
25,1520931,1021918
26,1525292,1022231
27,1530894,1021975
28,1524925,1016980
29,1520967,1017101
30,1507425,1024921
31,1513827,1024725
32,1519421.348,1027000.82
33,1528420,1027515
34,1525423,1005196
35,1525674,1003396
36,1526310,1010389
37,1525471,1007787
38,1527361,1007748
39,1530722.073,1010795.08
40,1529813,1006220
41,1508488,1001637
42,1528345,1003328
43,1529627,1016182
44,1537870,1013607
45,1541263,1011698
46,1538323.502,1007384.282
47,1537052,1025750
48,1547583,1027882
49,1550594,1022186
50,1550372,1016409
51,1550657,1011827
52,1543746,1005428
53,1525964,1002456
54,1524945,1001756
55,1526576,1000136
56,1527987,999027
57,1529216,1002028
58,1530866,999978
59,1528828,1000599
60,1529628,997957
61,1530919,997728
62,1530110,994476
63,1534967,998908
64,1545740,1001048
65,1544813,995175
66,1534063.084,998195.062
67,1532629,996816
68,1536999,997172
69,1533814,990698
70,1544886,989303
71,1551650,1002132
72,1550957.567,993231.938
73,1549142,981383
74,1523795,1000815
75,1524505,1000835
76,1523896,999420
77,1524016,997682
78,1526554,997415
79,1527270,994835
80,1524669,994923
81,1524121,992095
82,1524230.643,989624.25
83,1526921,990858
84,1529873,988602
85,1524997,982880
86,1530660,979992
87,1535529,982777
88,1540821,979579
89,1525265,969027
90,1533338,972945
91,1548642.553,971686.688
92,1523285,1000764
93,1523306,999424
94,1522083,999061
95,1520116,997501
96,1522097,997292
97,1523342,997697
98,1522173,994087
99,1521724,992769
100,1518308,993869
101,1511720,988604
102,1509143,983200
103,1517101,987986
104,1519133,986857
105,1506435,978807
106,1512856,978801
107,1518350,974704
108,1520493,1001822
109,1522624,1001774
110,1521875,1000633
111,1520444,1000482
112,1513412,1001708
113,1516817,1001525
114,1517404,999920
115,1514293,999968
116,1514264,997838
117,1508281,1000714
118,1509462,1000025
119,1512160.82,994008.525
120,1508885,994663
121,1506743.03,990864.869
122,1502729.852,993094.412
123,1506541.825,984781.791
124,1493295,990622
125,1498545,992005
126,1502039.24,987256.053
127,1494239,985210
128,1493163,978948
129,1496386,974539
130,1520461,1005413
131,1522022,1004954
132,1522266.361,1003284.835
133,1520402,1003953
134,1519317.966,1002619.051
135,1522614,1002264
136,1513047,1008300
137,1518079,1007573
138,1520223,1007508
139,1516876,1004903
140,1514370,1005280
141,1511498,1006068
142,1511051,1001837
143,1513487,1003354
144,1516742,1002763
145,1507835,1014080
146,1514975.206,1014624.498
147,1512669,1011350
148,1510425,1008369
149,1504634,1011825
150,1508498,1004706
151,1504447,1005152
152,1498810.326,998699.673
153,1493132,1024031
154,1500864,1022956
155,1508880,1018310
156,1500176,1019155
157,1496266,1020572
158,1496551,1020036
159,1497174.423,1019677.708
160,1499832,1012662
161,1494010,1013678
162,1492708.998,1002454.097
163,1521922,1012442
164,1518555,1009867
165,1519010,1014699
166,1529243,1011435
167,1528933,1008375
168,1532737,1009819
169,1530044,1000237
170,1529329,998892
171,1528411,999650
172,1538304,1000591
173,1533576,1001964
174,1536019,997951
175,1520519,1001353
176,1519003,1001374
177,1519014,1001865
178,1521680,1001824
179,1521696,1001328
180,1522597,1001270
181,1521839,1003756
182,1522673,1003270
183,1519004,1004492
184,1520839,1002677
185,1521740,1002307
186,1521698,1002775
187,1522629,1002765
188,1515278,1001645
189,1517751,1001520
190,1517800,1002789
191,1515349,1002886
192,1506246,999375
193,1511262,998400
194,1512681,1006128
195,1511278,1004030
196,1506376.073,1014543.536
197,1508000.305,1016320.637
198,1514904,1011161
199,1510920,1009474
200,1511385.846,1010433.479
201,1507885.654,1011791.895
202,1508442,1012178
203,1506281,1004772
204,1524898,987527
205,1536008,1018055
206,1511367,1007072
207,1510286,1006904
208,1512912.682,1007279.711
209,1487974.305,988900
210,1480197.212,987848.188
211,1488420.531,994924.063
212,1480197.212,995561.563
213,1480420.326,1003466.137
214,1471910.146,987274.5
215,1467001.653,994350.375
216,1470762.706,1001713.104
217,1461360.074,991832.375
218,1457216.541,985935.813
219,1455718.494,990270.563
220,1457471.528,993553.563
221,1455973.481,992437.938
222,1453141.783,990966.563
223,1454705.609,993331.438
224,1447610.285,986194.312
225,1447031.828,991520.938
226,1450767.698,995835.25
227,1488415.628,1009453.087
228,1481401.833,1009573.599
229,1488512.037,1016563.292
230,1481498.243,1015984.834
231,1468850.307,1009171.463
232,1463252.735,1007597.203
233,1471110.113,1015599.196
234,1463686.578,1016852.52
235,1489017.276,1021632.838
236,1488029.99,1027843.209
237,1483175.385,1024552.086
238,1477498.629,1026528.325
239,1479308,1021805.696
240,1465726.332,1026506.74
241,1457126.976,1006098.485
242,1449335.538,1005611.52
243,1456330.124,1014731.044
244,1449025.651,1013934.192
245,1456595.741,1021769.899
246,1447431.948,1023850.568
247,1457038.436,1028366.06
248,1447653.295,1027702.017
249,1456949.441,1034087.083
250,1458199.832,1037163.046
251,1457974.762,1039488.774
252,1456321.892,1041152.489
253,1457128.213,1040925.525
254,1457152.103,1041684.063
255,1458083.852,1040877.743
256,1458053.988,1041654.2
257,1458943.927,1040495.487
258,1458872.254,1040877.743
259,1458866.281,1041277.917
260,1458812.526,1041911.028
261,1455814.209,1043446.023
262,1458114.693,1043515.333
263,1460317.658,1045387.164
264,1462909.828,1044598.762
265,1460580.458,1043356.432
266,1459476.965,1041917.109
267,1460175.083,1041908.544
268,1459451.267,1041300.367
269,1460192.214,1041313.216
270,1459472.682,1040846.376
271,1460200.78,1040850.659
272,1459438.418,1040490.893
273,1460008.048,1040503.742
274,1461853.992,1041518.797
275,1463892.668,1041664.416
276,1463644.258,1040362.405
277,1463070.345,1040156.824
278,1461151.591,1040636.513
279,1460449.19,1039711.399
280,1461742.636,1038632.1
281,1459858.146,1037672.724
282,1461442.831,1037467.143
283,1461977.522,1034300.286
284,1470187.653,1033188.273
285,1470063.416,1036611.68
286,1466032.631,1040559.64
287,1464845.482,1043831.202
288,1470229.065,1042892.526
289,1474342.674,1035355.51
290,1478180.203,1035438.335
291,1476689.364,1043417.081
292,1485634.394,1042091.891
293,1484971.8,1034554.875
294,1494827.322,1031922.457
295,1501086.409,1040031.397
296,1504051.241,1040715.588
297,1508688.54,1032986.755
298,1510715.775,1042768.164
299,1519990.375,1040588.886
300,1524896.283,1031349.763
301,1526249.463,1038004.162
302,1529774.36,1034784.671
303,1533855.432,1032209.807
304,1533243.423,1040132.758
305,1527567.165,1052448.211
306,1536385.637,1053157.743
307,1543785.045,1058986.043
308,1544950.705,1050471.656
309,1552603.517,1051079.827
310,1544950.705,1040234.12
311,1544038.449,1031719.734
312,1551843.304,1040386.163
313,1555407.748,1030028.895
314,1563155.909,1029745.426
315,1558893.303,1034520.556
316,1560675.825,1035752.686
317,1562251.949,1034651.9
318,1565254.091,1035602.578
319,1567130.43,1039980.702
320,1564603.627,1042307.362
321,1557498.558,1036803.435
322,1557266.157,1050725.061
323,1565479.252,1051063.609
324,1556172.612,1061821.284
325,1565379.18,1061971.391
326,1576136.856,1063522.498
327,1573885.249,1058368.821
328,1579939.569,1060120.071
329,1578588.605,1057818.428
330,1581908.346,1057891.786
331,1583117.684,1059335.189
332,1584970.701,1061227.216
333,1585653.391,1057638.215
334,1585321.798,1055219.54
335,1584502.57,1056370.361
336,1582883.618,1057599.204
337,1581966.862,1055902.231
338,1582496.841,1054609.735
339,1576195.626,1051562.953
340,1584146.907,1051262.274
341,1576629.94,1041206.243
342,1583979.863,1040538.068
343,1578872.333,1029656.74
344,1557577.966,1017935.498
345,1559492.591,1013312.379
346,1565143.07,1014760.023
347,1564442.597,1022371.825
348,1574622.799,1023866.166
349,1578685.54,1017888.8
350,1578498.747,1011537.849
351,1578265.256,1006120.861
352,1567217.961,1009275.259
353,1568795.022,1006878.579
354,1566353.122,1008122.14
355,1558145.622,1007014.24
356,1559448.321,1000130.716
357,1562147.626,995663.938
358,1578311.999,1000353.515
359,1579331.371,995618.687
360,1575445.505,989008.5
361,1581791.777,986789.438
362,1573223.07,984285.812
363,1572976.133,989841.938
364,1566061.89,985736.562
365,1556431.338,990088.875
366,1558269.166,985104.5
367,1557045.204,984061.063
368,1556414.651,970595.688
369,1564026.318,969962.375
370,1562135.936,975656
371,1564453.905,980697
372,1574896.016,974058.188
373,1582817.617,970277.438
374,1587471.144,1058835.099
375,1587388.951,1055115.851
376,1589258.849,1056862.459
377,1591005.457,1055259.69
378,1549988.305,1005585.04
379,1499110.175,1015999.815
380,1503223.151,1014791.948
381,1504216.799,1014811.056
382,1513271.994,1009108.864
383,1514503.504,1006636.228
384,1517893.599,1005471.779
385,1520707.915,1010629.439
386,1513699.205,972805.568
387,1506960.691,987906.056
388,1502549.957,984191.754
389,1512645.99,1013081.041
390,1532738.994,1003764.173
391,1536892.297,1004886.687
392,1542420.679,999442.494
393,1513108.181,983833.798
394,1509391.713,996378.909
395,1502721.544,999251.463
440,1543322.255,966083.563
441,1527302.703,965625.25
442,1522274,970275
443,1521323,971005
444,1515467.123,970736.062
445,1515013,971522
446,1510372,971440
447,1495696.325,971475.812
448,1476486.949,981648.606
449,1469412.599,981692.875
450,1464134.614,981536.875
451,1450774.919,981966.438
452,1440552.679,988790.875
453,1440418.787,994272.75
454,1440149.796,1001938.962
455,1441521.711,1025865.924
456,1441730.922,1031245.625
457,1453715.699,1032620.437
458,1455254.23,1039980.263
459,1454608.033,1042691.016
460,1456058.912,1044853.062
461,1459277.642,1047669.45
462,1462207.013,1047869.082
463,1463686.461,1047667.339
464,1480802.979,1047760.472
465,1501299.948,1047177.7
466,1515329.815,1047409.054
467,1534565.446,1063067.043
468,1539209.433,1063092.531
469,1560629.06,1067992.873
470,1581616.068,1067879.162
471,1586977.272,1068073.203
472,1588073.377,1061114.363
473,1592762.945,1058564.938
474,1593346.365,1056731.332
475,1588652.7,1035375.691
476,1588679.005,1033227.841
477,1589179.079,1014225.018
478,1588556.577,1003525.709
479,1588995.849,998210.5
480,1573593.431,964551
481,1559674.697,964634.313
482,1539567.07,968140
483,1532644.425,968536.938
484,1485350.555,981484.875
485,1471402.543,1047848.327
486,1499999.197,1046662.29
487,1549944.505,1062783.599
488,1571029.595,1067659.526
489,1588178.931,1045646.352
490,1588732.286,1008884.837
491,1587282.686,987580.125
492,1585355.231,967341.812
493,1564727.996,1035650.288
100000,1522861.781,1002980.753
100001,1523125.909,1002977.873
100002,1523448.678,1002967.757
100003,1523664.226,1002961.008
100004,1523854.344,1002961.414
100005,1524144.13,1002964.145
100006,1524436.415,1002954.583
100007,1524141.299,1002763.839
100008,1523666.177,1002777.952
100009,1523129,1002769
100010,1522429.208,1002522.668
100011,1522640.668,1002519.222
100012,1522860.615,1002510.608
100013,1523129.157,1002506.191
100014,1523334,1002515
100015,1523114.076,1000561.377
100016,1523654.898,1002498.662
100017,1523854,1002505
100018,1524130.718,1002489.844
100019,1524431.11,1002483.782
100020,1524428.253,1002274.606
100021,1524128.379,1002273.724
100022,1523656.769,1002284.014
100023,1523123.576,1002307.867
100024,1522864,1002264
100025,1522426.067,1002263.968
100026,1522421.055,1002003.079
100027,1522645.373,1002001.764
100028,1522858.975,1001998.192
100029,1523129.179,1001993.382
100030,1523341.59,1001992.355
100032,1523783.803,1001983.927
100033,1524119.797,1001984.154
100034,1524425.635,1001987.837
100035,1524113.746,1001766.444
100036,1523628.544,1001775.964
100037,1523124,1001764
100038,1522854,1001754
100039,1522411.434,1001766.444
100040,1522413.235,1001517.745
100041,1522603.035,1001517.234
100042,1522847.225,1001509.648
100043,1523118.317,1001507.738
100044,1523318.069,1001507.826
100045,1523632.15,1001499.692
100046,1523816.711,1001498.418
100047,1524108.588,1001493.413
100048,1524415.115,1001488.701
100049,1524108.369,1001263.209
100050,1523628.544,1001267.913
100051,1523115.789,1001272.617
100052,1522403.22,1001002.564
100053,1522836.717,1000997.392
100054,1523112.229,1000994.309
100055,1523318.069,1000995.071
100056,1523621.67,1000988.163
100057,1523807.302,1000985.663
100058,1524097.022,1000982.633
100059,1524404.548,1000987.015
100060,1524701.253,1000990.863
100061,1524400.879,1000837.602
100062,1523604.01,1000761.589
100063,1523106.381,1000783.384
100064,1522396.801,1000625.066
100065,1522382.659,999911.375
100066,1522848.637,1000094.391
100067,1523128.685,1000096.33
100068,1523323.561,1000098.277
100069,1523599.214,1000099.259
100070,1523986.926,1000098.277
100071,1524386.117,1000104.6
100072,1524350.674,999417.688
100073,1523599.023,999417.688
100074,1523133.095,999440.563
100075,1522821.795,999240.938
100076,1522813.503,998448.375
100077,1523100.659,998443.625
100078,1523290.754,998448.75
100079,1523569.821,998445.813
100080,1524017.925,998450.875
100081,1524351.18,998448.375
100082,1525231.805,998451.313
100083,1526981.399,998456.875
100084,1527768.576,998459.375
100085,1529792.09,998449
100086,1525223.183,1000093.404
100087,1526582.342,1001105.549
100088,1525241.945,1000949.207
100089,1525279.708,1001733.626
100090,1525714.996,1002004.352
100091,1525296.352,1001986.25
100092,1525010.107,1001977.472
100093,1525017.206,1002471.93
100094,1525308.886,1002474.781
100095,1525947.755,1002917.578
100096,1525549.76,1002927.561
100097,1525028.745,1002935.331
100098,1525042.811,1003416.182
100099,1525440.822,1000115.921
100100,1524404.732,1001361.997
100101,1527953.05,1002890.237
100102,1528369.186,1002890.151
100103,1529268.322,1002870.032
100104,1530986.15,1002725.86
100105,1536106.94,1003764.878
100106,1529205.521,1001076.858
100107,1527477.53,1001075.178
100108,1528546.704,1000182.714
100109,1530523.641,998505.063
100110,1530911.053,998414.813
100111,1531406.111,998471.375
100112,1532074.479,998465.938
100113,1533027.733,998434.5
100114,1534137.305,998420.937
100115,1537081.32,998428.313
100116,1538366.052,998424.812
100117,1544673.363,998414.5
100118,1543731.355,998419.875
100119,1543854.601,1003721.856
100120,1534596.073,1003772.079
100121,1533357.321,1007790.36
100122,1534029.924,1007904.211
100123,1534679.163,1008020.346
100124,1538701.944,1008906.554
100125,1541280.484,1009186.036
100126,1534289.407,1024965.057
100127,1533210.984,997559.375
100128,1542551.912,1003728.689
100129,1533390.978,1014377.248
100130,1533498.022,1019702.567
100131,1533572.191,1023488.576
100132,1533601.678,1024992.638
100133,1533578.962,1027030.119
100134,1533556.305,1030088.891
100135,1537079.796,998249.875
100136,1538942.935,1030042.031
100137,1538823.136,1019605.035
100138,1540474.276,1019595.307
100139,1541747.079,1019573.554
100140,1545531.763,1019512.533
100141,1549476.562,1029928.475
100142,1537079.796,998626.313
100143,1523997.7,1004348.689
100144,1525254.52,1004348.689
100145,1549478.273,1023504.156
100146,1549393.826,1019456.985
100147,1554637.805,1019394.796
100148,1554578.802,1015243.718
100149,1549276.201,1012835.413
100150,1545417.663,1010391.004
100151,1549254.744,1010232.371
100152,1543857.34,1009974.247
100153,1554516.86,1010312.027
100154,1537639.448,998429.25
100155,1549249.116,1011694.124
100156,1549134.491,1003668.893
100157,1554381.104,1001890.772
100158,1554409.075,1003547.52
100159,1543731.87,998136.875
100160,1549114.283,1002645.088
100161,1543779.963,1000516.199
100162,1549029.684,998358.25
100163,1521449,1003813
100164,1554312.01,998234.938
100165,1521206.675,1002548.858
100166,1538746.257,1011710.929
100167,1493756.119,1019799.658
100168,1518306.558,1005223.974
100169,1518773.852,1005977.319
100170,1518072.322,1006531.91
100171,1517409.774,1006879.527
100172,1523242.797,1006199.04
100173,1516586.878,1007095.202
100174,1524461.439,1005936.869
100175,1508631.919,1001198.99
100176,1510617.752,1011151.703
100177,1512130.789,1012013.059
100178,1521279.811,1000581.167
100179,1520431.351,999712.938
100180,1534658.526,1007117.912
100181,1538732.503,1012475.656
100182,1541386.08,1015255.958
100183,1537475.844,1014323.652
100184,1538753.813,1014296.559
100185,1538700,1013547
100186,1543316,967098
100187,1514761,1000788
100188,1517412,1000869
100189,1518187,1000829
100190,1549153.251,1005576.554
100191,1551287.134,1003626.627
100192,1522110.254,1000135.979
100193,1511484,995972
100194,1549316.334,1016315.382
100195,1517454.321,1010856.604
100196,1549417.161,1021407.168
100197,1532385.224,998636.029
100198,1549509.019,1028098.244
100199,1533102.459,997425.687
100200,1517262.836,984012.318
100201,1525589.57,994798.375
100202,1526415.594,994798.375
100203,1514817.26,1013044.503
100204,1525207,997743
100205,1525569,997743
100206,1524296.985,997739.875
100207,1522530,1008354
100208,1522977,1008354
100209,1513157,1004479
100210,1513157,1005304
100211,1525473.858,1005917.945
100212,1525470,1005621
100213,1525448,1006848
100214,1530704.612,1007598.863
100215,1530745.821,1007273.538
100216,1516489,999921
100217,1515648,999952
100218,1528549,1000521
100219,1530711.66,1007396.234
100220,1530785.114,1014333.419
100221,1528549,999937
100222,1529626.527,999214.187
100223,1529632,999800
100224,1529632,999029
100225,1500595.375,1017689.775
100226,1496685.334,1022942.705
100227,1500599,1018558
100228,1504418.222,1022969.143
100229,1500623.913,1020518.013
100230,1508385,1012418
100231,1508385,1013003
100232,1510613,1011636
100233,1510613,1010956
100234,1511490.18,1010596.521
100235,1511483,1011209
100236,1517211,1005144
100237,1518592.491,1005202.69
100238,1534135.817,998704.938
100239,1534135.817,998272.312
100240,1535497.872,998409.375
100241,1535495.441,998261.125
100242,1535495.441,998665.625
100243,1532967,998780
100244,1512581,1004259
100245,1511773.942,1004263.126
100246,1511706.831,1008155.604
100247,1508277.814,985429.109
100248,1522126.939,1001522.121
100249,1522142.873,1002011.32
100250,1522391.488,1000375.522
100251,1522837.778,1000543.245
100252,1522143.491,1002527.763
100253,1522159.55,1002992.905
100254,1522160.051,1003290.151
100255,1522100,1000948
100256,1524656,993816
100257,1524656,993155
100258,1526983.22,998741.375
100259,1526983.22,998226.25
100260,1515192,1002235
100261,1515192,1001931
100262,1515192,1002521
100263,1520626,994451
100264,1521064,1007392
100265,1521662,1007392
100266,1509469.468,987371.063
100267,1510830,987301
100268,1521967.108,1012958.852
100269,1517505.138,1014796.782
100270,1533366,1009972
100271,1519005.655,1001586.072
100272,1518954.894,1001068.609
100273,1521706.886,1001542.033
100274,1521706.886,1001057.454
100275,1521712.52,1002026.611
100276,1522607.739,1000999.776
100277,1522132.618,1001790.076
100278,1521294.444,1001332.331
100279,1522113.801,1001310.251
100280,1522399.946,1001299.744
100281,1522842.948,1001305.547
100282,1522165.366,1003486.825
100283,1522640.668,1002989.639
100284,1522866,1003247
100285,1518981.739,1003551.742
100286,1519048.85,1005336.913
100287,1520485.094,1003048.637
100288,1520623,1002561
100289,1522865.058,1002771.247
100290,1522430.945,1002781.003
100291,1522142.026,1002279.31
100292,1521312,1002320
100293,1522140.752,1002781.652
100294,1521329.365,1002798.556
100295,1521718.651,1002533.335
100296,1521723.79,1003007.038
100297,1517800.573,1001605.503
100298,1517800.573,1001068.609
100299,1517840.84,1002128.974
100300,1515129.527,1001095.454
100301,1517842.115,1002615.96
100302,1515411.396,1004061.791
100303,1511748,1009338
100304,1512441,1009338
100305,1511898.172,1012037.959
100306,1536552.948,1019620.09
100307,1532378.63,998466.062
100308,1506571.249,985429.109
100309,1501304.434,985487.956
100310,1511760.52,1006544.924
100311,1512079.128,1007434.35
100312,1511854.476,1007430.798
100313,1496051.375,997920.675
100494,1503893.706,983840.237
100495,1503923.13,987621.163
100496,1502689.243,988973.919
100497,1515371.363,993317.367
100498,1512250.002,993295.071
100499,1503896,989828
100500,1510555.549,993295.071
100501,1490778.98,993401.625
100502,1493336.673,994106.688
100503,1495995.451,995176.75
100504,1498566.361,996129.188
100505,1500924.227,996065
100506,1501298.336,996067.125
100507,1501300.104,993442.875
100508,1501275,991957
100509,1495995,992023
100510,1495965,990603
100511,1490760.387,990645.25
100512,1539378.406,969654.938
100513,1490688.439,985633.562
100514,1493786.506,986492.375
100515,1494239.948,986618.25
100516,1495940.718,987089.813
100517,1498523.174,987848.25
100518,1501274.57,988597
100519,1503932.752,989334.063
100520,1503939.667,985430.875
100521,1495919.926,985561.515
100522,1490684.058,982903.063
100523,1495892.66,982882.25
100524,1502805.035,982810.413
100525,1503887.206,982782.563
100526,1506545.683,982755.25
100527,1495845.565,977533.875
100528,1495812.71,973821.75
100529,1490613.911,977626.562
100530,1490578.909,975006.375
100531,1492069.268,974978
100532,1495822.354,974906.562
100533,1495798.941,972282.875
100534,1497106.413,974887.812
100535,1506440.87,974771.125
100536,1510397.065,974758.625
100537,1510406.687,972158.063
100538,1515053.328,972118
100539,1515071.39,974741.375
